"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"i18n.ja.dashboard.requests.subtitle","frontstage","i18n","src/lib/i18n.ts","51","1","ja","dashboard.requests.subtitle","未完了の修繕・点検・後続対応","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.requests.empty","frontstage","i18n","src/lib/i18n.ts","52","1","ja","dashboard.requests.empty","未完了の対応履歴はありません。","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.requests.unlinkedProperty","frontstage","i18n","src/lib/i18n.ts","53","1","ja","dashboard.requests.unlinkedProperty","物件未紐付","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.requests.unlinkedParty","frontstage","i18n","src/lib/i18n.ts","54","1","ja","dashboard.requests.unlinkedParty","関係者未紐付","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.requests.occurredAt","frontstage","i18n","src/lib/i18n.ts","55","1","ja","dashboard.requests.occurredAt","発生日","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.contracts.title","frontstage","i18n","src/lib/i18n.ts","56","1","ja","dashboard.contracts.title","最新契約レコード","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.contracts.subtitle","frontstage","i18n","src/lib/i18n.ts","57","1","ja","dashboard.contracts.subtitle","契約タイプ別の最新6件","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.contracts.empty","frontstage","i18n","src/lib/i18n.ts","58","1","ja","dashboard.contracts.empty","契約レコードはまだありません。","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.contracts.signedAt","frontstage","i18n","src/lib/i18n.ts","59","1","ja","dashboard.contracts.signedAt","署名日","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.app.description","frontstage","i18n","src/lib/i18n.ts","195","1","zh","app.description","面向日本不动产经纪的资料录入、整理、输出中心","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.searchPlaceholder","frontstage","i18n","src/lib/i18n.ts","196","1","zh","nav.searchPlaceholder","搜索物件、主体或输出历史","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.importButton","frontstage","i18n","src/lib/i18n.ts","197","1","zh","nav.importButton","建档入口","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.outputButton","frontstage","i18n","src/lib/i18n.ts","198","1","zh","nav.outputButton","输出文件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.ownerBadge","frontstage","i18n","src/lib/i18n.ts","199","1","zh","nav.ownerBadge","负责人","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.tagline","frontstage","i18n","src/lib/i18n.ts","200","1","zh","nav.tagline","录入・整理・输出","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.dashboard","frontstage","i18n","src/lib/i18n.ts","201","1","zh","nav.link.dashboard","资料管理中心","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.clients","frontstage","i18n","src/lib/i18n.ts","202","1","zh","nav.link.clients","客户","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.importCenter","frontstage","i18n","src/lib/i18n.ts","203","1","zh","nav.link.importCenter","建档入口","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.properties","frontstage","i18n","src/lib/i18n.ts","204","1","zh","nav.link.properties","物件台账","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.parties","frontstage","i18n","src/lib/i18n.ts","205","1","zh","nav.link.parties","主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.quotes","frontstage","i18n","src/lib/i18n.ts","206","1","zh","nav.link.quotes","报价/试算","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.contracts","frontstage","i18n","src/lib/i18n.ts","207","1","zh","nav.link.contracts","合同/法定","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.serviceRequests","frontstage","i18n","src/lib/i18n.ts","208","1","zh","nav.link.serviceRequests","跟进记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.outputCenter","frontstage","i18n","src/lib/i18n.ts","209","1","zh","nav.link.outputCenter","输出文件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.nav.link.templates","frontstage","i18n","src/lib/i18n.ts","210","1","zh","nav.link.templates","模板","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.locale.label","frontstage","i18n","src/lib/i18n.ts","211","1","zh","locale.label","语言","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.title","frontstage","i18n","src/lib/i18n.ts","213","1","zh","dashboard.title","业务资料中枢","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.description","frontstage","i18n","src/lib/i18n.ts","214","1","zh","dashboard.description","将物件、主体、合同、跟进记录与输出文件统一管理。","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.kpi.properties","frontstage","i18n","src/lib/i18n.ts","215","1","zh","dashboard.kpi.properties","已登记物件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.kpi.parties","frontstage","i18n","src/lib/i18n.ts","216","1","zh","dashboard.kpi.parties","关联主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.kpi.contracts","frontstage","i18n","src/lib/i18n.ts","217","1","zh","dashboard.kpi.contracts","合同记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.kpi.pendingRequests","frontstage","i18n","src/lib/i18n.ts","218","1","zh","dashboard.kpi.pendingRequests","待处理跟进","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.title","frontstage","i18n","src/lib/i18n.ts","219","1","zh","dashboard.flow.title","资料流转","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.subtitle","frontstage","i18n","src/lib/i18n.ts","220","1","zh","dashboard.flow.subtitle","查看录入、整理、输出状态","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.stepPrefix","frontstage","i18n","src/lib/i18n.ts","221","1","zh","dashboard.flow.stepPrefix","步骤","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.dashboard.flow.step1.title","frontstage","i18n","src/lib/i18n.ts","222","1","zh","dashboard.flow.step1.title","建档入口","","Can be edited in CSV and migrated back to i18n source."
